Location number,Location name,Lat,Lon,Corr with Adult female lice,Corr with Lice in moving stages,Corr with Attached lice
30397,Bergsøy,67.897,15.15785,0.275614566,0.427468134,0.180554839
30437,Kattholmen II,63.864784,8.676583,0.116834995,0.252879104,0.2671614
30517,Trælvika,69.51847,17.68705,-0.114620377,-0.123773623,0.071097106
30518,Ørnfjordbotn,69.49139,17.672916,0.008104849,-0.085970778,0.098929355
30537,Steinflesa,65.134834,11.515983,0.014496823,-0.057696632,0.161363924
30559,Øksneset,60.81255,4.862317,-0.016775112,-0.141108954,-0.270301669
30560,Tristeinen,63.868935,9.619183,0.042994953,0.247966138,0.25322665
30637,Rahkasluokta,68.02507,16.21425,-0.002933622,-0.020213122,0.038529152
30657,Revøy,58.0243,7.0268,-0.030401695,0.108983817,0.025189689
30717,Tveitnes,60.41365,6.4012,-0.166831344,-0.162380279,-0.155735546
30737,,,,0.0809047,0.157210468,0.241803882
30757,Skog,69.474335,17.878683,-0.077955785,-0.158956751,-0.210333286
30817,Raudøya,64.3646,10.439133,0.195351787,0.087506556,0.033534489
30837,Torangskjeret,60.130184,5.176033,-0.132384376,-0.063467825,-0.065312082
30857,Leirvik,67.0267,14.126283,0.027192408,0.046658068,0.03051826
30877,Sessøya,69.746735,18.248684,0.025524034,0.141070874,0.268307961
30897,Havsundet,63.79933,9.440483,-0.007931541,0.069591024,0.035896722
30917,Elgen,68.87711,16.282368,0.045470369,0.076271873,0.256372479
30957,Salaluokta,68.033585,16.25385,-0.032934547,0.008142595,0.074957398
30977,Æsøya,68.104866,13.790067,-0.083750885,-0.004146807,0.114363084
30997,Skrubbholmen,64.801735,11.162183,-0.16608582,-0.06957369,-0.044564433
31037,Masterholman II,64.161964,10.036433,0.524571426,-0.027947669,0.177079676
31038,Buarøy,60.220066,5.21455,-0.073511925,-0.111450498,-0.277457933
31077,Tjukkeneset,68.47487,17.303932,-0.123598322,-0.104877275,0.00959771
31117,Skrubbo,60.15632,5.713217,0.264748945,0.029644608,-0.149222017
31137,Danielsnes,70.19168,22.321016,-0.15046548,0.002002623,0.132610296
31157,Fiksneset,60.176884,5.124833,-0.074091051,-0.196826923,-0.13299794
31177,Hilderkleiva,68.78005,16.0978,-0.118948533,-0.026786041,0.027933134
31217,Stokkasjøen,65.78252,12.591783,0.005760174,0.101779282,0.139156935
31297,Tortenneset,68.485916,17.338667,0.137843771,0.185749807,0.209025525
31317,Bjørkvik,68.02925,16.131416,0.12129775,0.127483127,0.128673697
31338,Storskjeret,63.27048,8.2298,0.100542532,0.055068448,0.041161586
31357,Geitryggen,64.75127,11.189217,-0.153014891,-0.049190429,-0.05075174
31397,Oterneset,68.9288,16.701366,0.036390976,0.195706597,0.174704742
31398,Finnvik,69.89297,18.807934,-0.19125992,0.041662949,0.075581442
31437,Fuglåsen,63.44715,8.167767,0.12007502,0.127417617,0.148631808
31457,Skarvestein,69.99355,20.7111,-0.282875478,-0.226931993,-0.035413771
31477,Kilavågen Sjø,59.317966,6.2872,0.181577581,0.184819517,0.112934842
31497,Toska N,60.66987,4.9172,-0.091550208,-0.125799186,-0.19392699
31517,Kamholmen,63.762417,8.882933,0.090687104,0.17828235,0.2127049
31557,Valøyan,63.81835,8.463817,0.329203525,0.32045335,0.205264798
31577,Haneholmen,61.839718,6.10055,-0.23987163,-0.254210078,-0.252813419
31637,Melkøya,66.08141,12.2005,0.00965931,0.197036801,0.277375738
31677,Sandholmane,62.79658,6.67125,0.108797439,0.023485594,0.054236134
31697,Oksen,60.43418,4.94065,-0.000438686,-0.06148913,-0.348942553
31717,Gjerset V,62.53023,6.429083,-0.203144831,-0.058868282,-0.025765289
31738,Bjørga,69.153984,17.948418,0.123365231,0.265552721,0.30037792
31757,Kasteberget,68.79125,16.914017,0.003658432,0.138390385,0.242571309
31777,Reinvika,67.60568,15.368483,0.174198506,0.238300286,0.155541185
31797,Fartøyvika,70.828514,24.450483,-0.222362617,0.040080402,0.029777119
31817,Svartskjær,68.718285,16.775467,0.052745579,0.18070604,0.157619481
31857,Blomsøråsa,65.85637,12.311833,0.369556171,0.355785058,0.404178106
31877,Barøya,64.62112,11.235517,0.151909528,0.139573473,0.062102258
31917,Kirkeneset,70.71336,23.827433,-0.019871529,-0.012518144,0.066278641
31958,Ratvika,63.97185,9.954783,0.265040206,0.40333209,0.424663241
31959,Rataren II,63.782383,8.52635,0.13173049,0.261446188,0.312487207
32017,Ånholmen,64.7198,11.461683,0.130254687,0.074372033,0.113213831
32037,Grasholman,66.3489,12.777717,0.073789039,0.188501932,0.193698918
32057,Lyngøy,64.81865,10.935217,-0.093697202,0.138731158,0.118844999
32097,Korsneset 2,63.14123,8.21375,0.143143384,0.083537957,0.026934448
32117,Dyrholmen Ø,59.9332,5.239467,0.120628832,-0.043077284,-0.093030295
32137,Sagen 2,60.348385,5.644033,-0.109665737,-0.075964506,-0.003377346
32157,Dyrholmen V,59.928017,5.23015,0.059134693,0.069716905,-0.090384067
32197,Dryna,62.64467,6.557633,0.078095809,0.151183562,0.072176388
